"","siteid","estuaryname","stationno","samplecollectiondate","transectreplicate","plotreplicate","covertype","scientificname","commonname","status","estimatedcover","percentcovercode","daubenmiremidpoint","tallestplantheight_cm","percentcovernotes","habitat","live_dead","identificationnotes","unknownreplicate","projectid","method","objectid","region","estuaryclass","mpastatus","estuarytype"
"7313","NC-DRA","Drakes Estero",23,"2021-10-19",1,3,"vegetation","Frankenia salina","alkali heath","native",-88,1,0.5,9,"Not recorded","Low marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7314","NC-BOL","Bolinas Lagoon",-88,"2021-05-07",2,1,"vegetation","Spartina foliosa","California cordgrass","native",25,3,15,60,"post-processed by Brent Hughes in Sept. 2022; transects were typically 15 m due to lack of space","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7315","NC-BOL","Bolinas Lagoon",-88,"2021-05-07",2,2,"vegetation","Distichlis littoralis","shore grass","native",8,3,15,-88,"post-processed by Brent Hughes in Sept. 2022; transects were typically 15 m due to lack of space","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7316","NC-BOL","Bolinas Lagoon",-88,"2021-05-07",2,2,"vegetation","Frankenia salina","alkali heath","native",11,3,15,-88,"post-processed by Brent Hughes in Sept. 2022; transects were typically 15 m due to lack of space","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7317","NC-BOL","Bolinas Lagoon",-88,"2021-05-07",2,2,"vegetation","Salicornia pacifica","Pickleweed","native",64,5,62.5,41,"post-processed by Brent Hughes in Sept. 2022; transects were typically 15 m due to lack of space","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7318","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,1,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,49,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7319","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,2,"vegetation","Distichlis littoralis","shore grass","native",-88,7,97.5,29,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7320","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,2,"vegetation","Salicornia pacifica","Pickleweed","native",-88,3,15,30,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7321","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,3,"vegetation","Distichlis littoralis","shore grass","native",-88,4,37.5,35,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7322","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,3,"vegetation","Salicornia pacifica","Pickleweed","native",-88,3,15,20,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7323","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,3,"vegetation","Spartina foliosa","California cordgrass","native",-88,3,15,79,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7324","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,4,"vegetation","Distichlis littoralis","shore grass","native",-88,6,85,33,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7325","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,4,"vegetation","Salicornia pacifica","Pickleweed","native",-88,6,85,26,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7326","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,5,"vegetation","Distichlis littoralis","shore grass","native",-88,5,62.5,35,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7327","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,5,"vegetation","Salicornia pacifica","Pickleweed","native",-88,5,62.5,33,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7328","NC-BOL","Bolinas Lagoon",-88,"2021-10-28",2,5,"vegetation","Spartina foliosa","California cordgrass","native",-88,3,15,90,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7329","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",-88,6,85,29,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7330","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",-88,6,85,28,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7331","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,3,"vegetation","Distichlis littoralis","shore grass","native",-88,2,3,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7332","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,3,"vegetation","Frankenia salina","alkali heath","native",-88,2,3,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7333","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",-88,6,85,43,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7334","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,4,"vegetation","Distichlis littoralis","shore grass","native",-88,5,62.5,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7335","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,4,"vegetation","Frankenia salina","alkali heath","native",-88,2,3,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7336","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",-88,5,62.5,22,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7337","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,5,"vegetation","Distichlis littoralis","shore grass","native",-88,3,15,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7338","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,5,"vegetation","Frankenia salina","alkali heath","native",-88,4,37.5,-88,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7339","NC-BOL","Bolinas Lagoon",21,"2021-10-28",1,5,"vegetation","Salicornia pacifica","Pickleweed","native",-88,6,85,13,"post-processed by Brent Huges in Sept. 2022","Mid marsh","Live","",-88,"EMPA","within_elevation",3,"North","Embayment","NON-MPA","Perennially Open"
"7340","NC-DRA","Drakes Estero",13,"2021-04-15",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",80,6,85,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7341","NC-DRA","Drakes Estero",13,"2021-04-15",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",90,6,85,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7342","NC-DRA","Drakes Estero",13,"2021-04-15",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",95,6,85,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7343","NC-DRA","Drakes Estero",13,"2021-04-15",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",90,6,85,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7344","NC-DRA","Drakes Estero",13,"2021-04-15",1,5,"vegetation","Salicornia pacifica","Pickleweed","native",60,5,62.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7345","NC-DRA","Drakes Estero",23,"2021-04-15",1,1,"vegetation","Salicornia pacifica","Pickleweed","native",100,7,97.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7346","NC-DRA","Drakes Estero",23,"2021-04-15",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",100,7,97.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7347","NC-DRA","Drakes Estero",23,"2021-04-15",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",100,7,97.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7348","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,3,"vegetation","Batis maritima","saltwort","native",15,3,15,9,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7349","NC-DRA","Drakes Estero",23,"2021-04-15",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",100,7,97.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7350","NC-DRA","Drakes Estero",23,"2021-04-15",1,5,"vegetation","Salicornia pacifica","Pickleweed","native",100,7,97.5,-88,"did not take plant height","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7351","NC-DRA","Drakes Estero",13,"2021-10-19",2,1,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,14,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7352","NC-DRA","Drakes Estero",13,"2021-10-19",2,2,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,14,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7353","NC-DRA","Drakes Estero",13,"2021-10-19",2,3,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,16,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7354","NC-DRA","Drakes Estero",13,"2021-10-19",2,4,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,12,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7355","NC-DRA","Drakes Estero",13,"2021-10-19",2,5,"vegetation","Salicornia pacifica","Pickleweed","native",-88,7,97.5,14,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7356","NC-DRA","Drakes Estero",23,"2021-10-19",2,2,"vegetation","Frankenia salina","alkali heath","native",-88,1,0.5,7,"Not recorded","Mid marsh","Live","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7357","NC-DRA","Drakes Estero",13,"2021-10-19",1,3,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,8,"Not recorded","Low marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7358","NC-DRA","Drakes Estero",13,"2021-10-19",1,4,"wrack","Zostera marina","eelgrass","native",-88,4,37.5,18,"Not recorded","Low marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7359","NC-DRA","Drakes Estero",13,"2021-10-19",1,5,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,7,"Not recorded","Low marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7360","NC-DRA","Drakes Estero",13,"2021-10-19",1,1,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,12,"Not recorded","Low marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7361","NC-DRA","Drakes Estero",13,"2021-10-19",1,2,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,7,"Not recorded","Low marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7362","NC-DRA","Drakes Estero",23,"2021-10-19",2,4,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,10,"Not recorded","Mid marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7363","NC-DRA","Drakes Estero",23,"2021-10-19",2,1,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,15,"Not recorded","Mid marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7364","NC-DRA","Drakes Estero",23,"2021-10-19",2,2,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,14,"Not recorded","Mid marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7365","NC-DRA","Drakes Estero",23,"2021-10-19",2,3,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,16,"Not recorded","Mid marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7366","NC-DRA","Drakes Estero",23,"2021-10-19",2,5,"wrack","Zostera marina","eelgrass","native",-88,7,97.5,10,"Not recorded","Mid marsh","Dead","",-88,"EMPA","within_elevation",4,"North","Embayment","MPA","Perennially Open"
"7367","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",95,6,85,14,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7368","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,1,"vegetation","Frankenia salina","alkali heath","native",5,2,3,19,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7369","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,2,"vegetation","Batis maritima","saltwort","native",40,4,37.5,9,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7370","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,2,"vegetation","Salicornia bigelovii","dwarf glasswort","native",25,3,15,19,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7371","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,16,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7372","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,2,"vegetation","Frankenia salina","alkali heath","native",2,2,3,19,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7373","SC-SEAL","Seal Beach",2,"2023-10-28",2,5,"vegetation","Batis maritima","saltwort","native",50,4,37.5,24,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",28,"South","Lagoonal","NON-MPA","Perennially Open"
"7374","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,27,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7375","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,3,"vegetation","Salicornia bigelovii","dwarf glasswort","native",30,4,37.5,26,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7376","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,3,"vegetation","Frankenia salina","alkali heath","native",5,2,3,18,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7377","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,4,"vegetation","Salicornia bigelovii","dwarf glasswort","native",40,4,37.5,24,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7378","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,4,"vegetation","Batis maritima","saltwort","native",30,4,37.5,15,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7379","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,4,"vegetation","Spartina foliosa","California cordgrass","native",5,2,3,68,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7380","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,5,"vegetation","Spartina foliosa","California cordgrass","native",5,2,3,86,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7381","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,5,"vegetation","Batis maritima","saltwort","native",40,4,37.5,26,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7382","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,5,"vegetation","Salicornia pacifica","Pickleweed","native",15,3,15,50,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7383","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,6,"vegetation","Spartina foliosa","California cordgrass","native",15,3,15,90,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7384","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,6,"vegetation","Batis maritima","saltwort","native",30,4,37.5,26,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7385","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,6,"vegetation","Salicornia pacifica","Pickleweed","native",15,3,15,42,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7386","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,6,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,48,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7387","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,6,"vegetation","Salicornia bigelovii","dwarf glasswort","native",5,2,3,39,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7388","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,7,"vegetation","Batis maritima","saltwort","native",20,3,15,15,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7389","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,7,"vegetation","Spartina foliosa","California cordgrass","native",5,2,3,69,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7390","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,7,"vegetation","Salicornia bigelovii","dwarf glasswort","native",25,3,15,23,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7391","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,7,"vegetation","Salicornia bigelovii","dwarf glasswort","native",5,2,3,29,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7392","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,8,"vegetation","Batis maritima","saltwort","native",30,4,37.5,10,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7393","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,8,"vegetation","Salicornia bigelovii","dwarf glasswort","native",40,4,37.5,28,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7394","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,8,"vegetation","Frankenia salina","alkali heath","native",2,2,3,9,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7395","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Batis maritima","saltwort","native",15,3,15,19,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7396","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Frankenia salina","alkali heath","native",20,3,15,24,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7397","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Salicornia bigelovii","dwarf glasswort","native",20,3,15,24,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7398","SC-BOL","Bolsa Chica",2,"2023-10-29",1,13,"vegetation","Batis maritima","saltwort","native",30,4,37.5,30,"","Mid marsh","Live","",1,"Bight-Estuary-23","across_elevation",55,"South","Lagoonal","MPA","Perennially Open"
"7399","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Salicornia bigelovii","dwarf glasswort","native",2,2,3,26,"","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7400","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Spartina foliosa","California cordgrass","native",20,3,15,73,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7401","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,9,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,28,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7402","SC-SEAL","Seal Beach",2,"2023-10-28",1,1,"vegetation","Batis maritima","saltwort","native",30,4,37.5,34,"","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",28,"South","Lagoonal","NON-MPA","Perennially Open"
"7403","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,10,"vegetation","Frankenia salina","alkali heath","native",15,3,15,36,"","Mid marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7404","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,10,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,30,"","Mid marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7405","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,10,"vegetation","Distichlis spicata","salt grass","native",50,4,37.5,24,"","Mid marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7406","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,10,"vegetation","Salicornia bigelovii","dwarf glasswort","native",2,2,3,32,"","Mid marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7407","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,10,"vegetation","Salicornia bigelovii","dwarf glasswort","native",2,2,3,36,"","Mid marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7408","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,11,"vegetation","Distichlis spicata","salt grass","native",50,4,37.5,39,"","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7409","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,11,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,55,"","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7410","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",1,11,"vegetation","Frankenia salina","alkali heath","native",40,4,37.5,42,"","High marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7411","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,12,"vegetation","Salicornia pacifica","Pickleweed","native",60,5,62.5,67,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7412","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,12,"vegetation","Batis maritima","saltwort","native",15,3,15,35,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7413","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,13,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,42,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7414","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,13,"vegetation","Batis maritima","saltwort","native",15,3,15,17,"oil sheen present","Low marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7415","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,13,"vegetation","Salicornia bigelovii","dwarf glasswort","native",65,5,62.5,22,"oil sheen present","Low marsh","Dead","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
"7416","SC-HBW","Huntington Beach Wetlands",3,"2023-10-21",2,14,"vegetation","Batis maritima","saltwort","native",20,3,15,13,"","Mid marsh","Live","",-88,"Bight-Estuary-23","across_elevation",23,"South","Riverine","NON-MPA","Temporarily Closed"
